# d (Angstrom)	E (Hartree)
0.1	4.347543874624938
0.10468227424749164	3.9026901819387128
0.10936454849498328	3.498137937253945
0.11404682274247492	3.128843154619932
0.11872909698996656	2.7905593302237106
0.1234113712374582	2.4796869585837626
0.12809364548494984	2.193155841751441
0.13277591973244146	1.9283321260412274
0.1374581939799331	1.6829441978041513
0.14214046822742477	1.4550231144764558
0.1468227424749164	1.2428543479311212
0.15150501672240801	1.0449384115178801
0.15618729096989967	0.8599585221424442
0.16086956521739132	0.6867538768557044
0.16555183946488294	0.5242974427227216
0.17023411371237457	0.37167739919977905
0.17491638795986622	0.22808155498894322
0.17959866220735787	0.09278420141560906
0.1842809364548495	-0.03486502739292163
0.18896321070234112	-0.15545063297243367
0.19364548494983277	-0.2694993489925357
0.19832775919732443	-0.3774870829225494
0.20301003344481605	-0.47984488862719177
0.20769230769230768	-0.5769641224925925
0.21237458193979933	-0.6692009090428757
0.21705685618729098	-0.7568800204750872
0.2217391304347826	-0.8402982570450561
0.22642140468227426	-0.9197274009556138
0.23110367892976588	-0.9954168046803129
0.2357859531772575	-1.0675956650150908
0.24046822742474916	-1.1364750261676926
0.2451505016722408	-1.2022495485772904
0.24983277591973244	-1.2650990746410695
0.2545150501672241	-1.3251900179173666
0.2591973244147157	-1.3826765985111227
0.26387959866220734	-1.4377019441001089
0.268561872909699	-1.4903990733181232
0.2732441471571906	-1.5408917758970668
0.27792642140468227	-1.5892954020011614
0.28260869565217395	-1.6357175715165848
0.2872909698996655	-1.680258812633627
0.2919732441471572	-1.7230131378401925
0.2966555183946488	-1.7640685644006524
0.30133779264214045	-1.80350758549762
0.3060200668896321	-1.8414075974415487
0.3107023411371237	-1.8778412876873334
0.3153846153846154	-1.9128769878205596
0.32006688963210705	-1.9465789951769734
0.3247491638795986	-1.9790078663259207
0.3294314381270903	-2.0102206852712525
0.33411371237458193	-2.0402713088950257
0.33879598662207355	-2.0692105918825474
0.34347826086956523	-2.097086593117247
0.3481605351170568	-2.1239447653132375
0.3528428093645485	-2.14982812946206
0.35752508361204016	-2.1747774354997684
0.36220735785953173	-2.1988313104520643
0.3668896321070234	-2.222026395183735
0.371571906354515	-2.2443974707623546
0.37625418060200666	-2.2659775753439924
0.38093645484949834	-2.2867981123973338
0.3856187290969899	-2.306888951002502
0.3903010033444816	-2.3262785188887416
0.39498327759197327	-2.34499388881151
0.39966555183946484	-2.3630608588131707
0.4043478260869565	-2.3805040268597137
0.4090301003344481	-2.397346860301955
0.41371237458193977	-2.4136117605677274
0.41839464882943145	-2.429320123456219
0.423076923076923	-2.444492395372575
0.4277591973244147	-2.459148125811048
0.4324414715719064	-2.473306016369504
0.43712374581939795	-2.4869839665532503
0.4418060200668896	-2.5001991166051423
0.4464882943143812	-2.512967887579843
0.4511705685618729	-2.5253060188602103
0.45585284280936456	-2.537228603302045
0.4605351170568561	-2.548750120174081
0.4652173913043478	-2.559884466050298
0.4698996655518395	-2.5706449837978314
0.47458193979933105	-2.5810444897935465
0.47926421404682273	-2.591095299491918
0.4839464882943143	-2.600809251457778
